age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y
43,services,single,unknown,no,0,no,no,unknown,may,73,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,517,yes,no,unknown,may,528,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,265,yes,no,unknown,may,541,1,-1,0,unknown,no
53,housemaid,divorced,primary,no,947,yes,no,unknown,may,163,1,-1,0,unknown,no
34,self-employed,single,secondary,no,3,yes,no,unknown,may,301,1,-1,0,unknown,no
57,unemployed,married,tertiary,no,42,no,no,unknown,may,46,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,37,yes,no,unknown,may,204,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,57,yes,no,unknown,may,98,1,-1,0,unknown,no
33,services,married,secondary,no,22,yes,no,unknown,may,71,1,-1,0,unknown,no
56,blue-collar,divorced,primary,no,8,yes,no,unknown,may,157,2,-1,0,unknown,no
48,unemployed,married,secondary,no,293,yes,no,unknown,may,243,1,-1,0,unknown,no
43,services,married,primary,no,3,yes,no,unknown,may,186,2,-1,0,unknown,no
54,blue-collar,married,primary,no,348,yes,no,unknown,may,579,2,-1,0,unknown,no
51,blue-collar,married,unknown,no,-19,yes,no,unknown,may,163,2,-1,0,unknown,no
26,student,single,secondary,no,0,yes,no,unknown,may,610,2,-1,0,unknown,no
40,management,married,tertiary,no,-4,yes,no,unknown,may,2033,1,-1,0,unknown,no
39,management,married,secondary,no,18,yes,no,unknown,may,85,1,-1,0,unknown,no
50,technician,married,primary,no,139,no,no,unknown,may,114,2,-1,0,unknown,no
41,services,married,secondary,no,0,yes,no,unknown,may,114,2,-1,0,unknown,no
51,blue-collar,married,unknown,no,1883,yes,no,unknown,may,57,1,-1,0,unknown,no
60,retired,divorced,secondary,no,216,yes,no,unknown,may,238,1,-1,0,unknown,no
52,blue-collar,married,secondary,no,782,yes,no,unknown,may,93,3,-1,0,unknown,no
48,blue-collar,married,secondary,no,904,yes,no,unknown,may,128,2,-1,0,unknown,no
48,services,married,unknown,no,1705,yes,no,unknown,may,107,1,-1,0,unknown,no
39,technician,single,tertiary,no,47,yes,no,unknown,may,181,1,-1,0,unknown,no
47,services,single,secondary,no,176,yes,no,unknown,may,303,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,1225,yes,no,unknown,may,558,5,-1,0,unknown,no
45,technician,married,secondary,no,86,yes,no,unknown,may,270,1,-1,0,unknown,no
26,admin.,single,secondary,no,82,yes,no,unknown,may,228,1,-1,0,unknown,no
52,management,married,tertiary,no,271,yes,no,unknown,may,99,1,-1,0,unknown,no
54,technician,married,secondary,no,1378,yes,no,unknown,may,240,1,-1,0,unknown,no
54,admin.,married,tertiary,no,184,no,no,unknown,may,673,2,-1,0,unknown,yes
50,blue-collar,married,primary,no,0,no,no,unknown,may,233,3,-1,0,unknown,no
35,blue-collar,married,secondary,no,0,yes,no,unknown,may,1056,1,-1,0,unknown,no
44,services,married,secondary,no,1357,yes,yes,unknown,may,250,1,-1,0,unknown,no
53,entrepreneur,married,unknown,no,19,yes,no,unknown,may,252,1,-1,0,unknown,no
35,retired,single,primary,no,434,no,no,unknown,may,138,1,-1,0,unknown,no
60,admin.,divorced,secondary,no,92,yes,no,unknown,may,130,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,1151,yes,no,unknown,may,412,1,-1,0,unknown,no
48,unemployed,married,secondary,no,41,yes,no,unknown,may,179,2,-1,0,unknown,no
34,technician,married,secondary,no,51,yes,no,unknown,may,19,2,-1,0,unknown,no
54,services,married,secondary,no,214,yes,no,unknown,may,458,2,-1,0,unknown,no
51,management,married,secondary,no,1161,yes,no,unknown,may,717,1,-1,0,unknown,no
31,services,married,tertiary,no,37,yes,no,unknown,may,313,1,-1,0,unknown,no
35,technician,divorced,secondary,no,787,yes,no,unknown,may,683,2,-1,0,unknown,no
35,services,married,secondary,no,59,yes,no,unknown,may,1077,1,-1,0,unknown,no
38,technician,married,secondary,no,253,yes,no,unknown,may,416,1,-1,0,unknown,no
36,admin.,married,tertiary,no,211,yes,no,unknown,may,146,2,-1,0,unknown,no
58,retired,married,primary,no,235,yes,no,unknown,may,167,1,-1,0,unknown,no
40,services,divorced,unknown,no,4384,yes,no,unknown,may,315,1,-1,0,unknown,no
54,management,married,secondary,no,4080,no,no,unknown,may,140,1,-1,0,unknown,no
34,blue-collar,single,secondary,no,53,yes,yes,unknown,may,346,1,-1,0,unknown,no
31,management,single,tertiary,no,0,yes,no,unknown,may,562,1,-1,0,unknown,no
51,retired,married,secondary,no,2127,yes,no,unknown,may,172,1,-1,0,unknown,no
33,management,married,tertiary,no,377,yes,no,unknown,may,217,1,-1,0,unknown,no
55,management,married,tertiary,no,73,yes,no,unknown,may,142,2,-1,0,unknown,no
42,admin.,married,secondary,no,445,yes,no,unknown,may,67,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,243,yes,no,unknown,may,291,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,307,yes,no,unknown,may,309,2,-1,0,unknown,no
38,services,married,secondary,no,155,yes,no,unknown,may,248,1,-1,0,unknown,no
50,technician,divorced,tertiary,no,173,no,yes,unknown,may,98,1,-1,0,unknown,no
43,management,married,tertiary,no,400,yes,no,unknown,may,256,1,-1,0,unknown,no
61,blue-collar,divorced,primary,no,1428,yes,no,unknown,may,82,2,-1,0,unknown,no
47,admin.,married,secondary,no,219,yes,no,unknown,may,577,1,-1,0,unknown,no
48,self-employed,married,tertiary,no,7,yes,no,unknown,may,286,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,575,yes,no,unknown,may,477,1,-1,0,unknown,no
35,student,single,unknown,no,298,yes,no,unknown,may,611,2,-1,0,unknown,no
35,services,married,secondary,no,0,yes,no,unknown,may,471,1,-1,0,unknown,no
50,services,married,secondary,no,5699,yes,no,unknown,may,381,2,-1,0,unknown,no
41,management,married,tertiary,no,176,yes,yes,unknown,may,42,1,-1,0,unknown,no
41,management,married,tertiary,no,517,yes,no,unknown,may,251,1,-1,0,unknown,no
39,services,single,unknown,no,257,yes,no,unknown,may,408,1,-1,0,unknown,no
42,retired,married,secondary,no,56,yes,no,unknown,may,215,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,-390,yes,no,unknown,may,287,1,-1,0,unknown,no
53,retired,married,secondary,no,330,yes,no,unknown,may,216,2,-1,0,unknown,no
59,housemaid,divorced,primary,no,195,no,no,unknown,may,366,2,-1,0,unknown,no
36,services,married,secondary,no,301,yes,no,unknown,may,210,1,-1,0,unknown,no
54,blue-collar,married,primary,no,-41,yes,no,unknown,may,288,1,-1,0,unknown,no
40,technician,married,tertiary,no,483,yes,no,unknown,may,168,1,-1,0,unknown,no
47,unknown,married,unknown,no,28,no,no,unknown,may,338,2,-1,0,unknown,no
53,unemployed,married,unknown,no,13,no,no,unknown,may,410,3,-1,0,unknown,no
46,housemaid,married,primary,no,965,no,no,unknown,may,177,1,-1,0,unknown,no
39,management,married,tertiary,no,378,yes,yes,unknown,may,127,2,-1,0,unknown,no
40,unemployed,married,secondary,no,219,yes,no,unknown,may,357,1,-1,0,unknown,no
28,blue-collar,married,primary,no,324,yes,no,unknown,may,175,1,-1,0,unknown,no
35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,may,300,1,-1,0,unknown,no
55,retired,married,secondary,no,0,no,yes,unknown,may,136,1,-1,0,unknown,no
43,technician,divorced,unknown,no,205,yes,no,unknown,may,1419,1,-1,0,unknown,no
48,blue-collar,married,primary,no,278,yes,no,unknown,may,125,2,-1,0,unknown,no
58,management,married,unknown,no,1065,yes,no,unknown,may,213,3,-1,0,unknown,no
33,management,single,tertiary,no,34,yes,no,unknown,may,27,1,-1,0,unknown,no
36,blue-collar,married,unknown,no,1033,no,no,unknown,may,238,2,-1,0,unknown,no
53,services,divorced,secondary,no,1467,yes,no,unknown,may,124,1,-1,0,unknown,no
47,blue-collar,married,primary,no,-12,yes,no,unknown,may,18,1,-1,0,unknown,no
31,services,married,secondary,no,388,yes,no,unknown,may,730,2,-1,0,unknown,no
57,entrepreneur,married,secondary,no,294,yes,no,unknown,may,746,2,-1,0,unknown,no
53,blue-collar,married,unknown,no,1827,no,no,unknown,may,121,1,-1,0,unknown,no
55,blue-collar,married,primary,no,627,yes,no,unknown,may,247,1,-1,0,unknown,no
45,blue-collar,married,primary,no,25,yes,no,unknown,may,40,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,315,yes,no,unknown,may,181,2,-1,0,unknown,no
37,blue-collar,married,primary,no,0,yes,no,unknown,may,79,1,-1,0,unknown,no
44,admin.,divorced,secondary,no,66,yes,no,unknown,may,206,1,-1,0,unknown,no
49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,may,389,1,-1,0,unknown,no
46,technician,married,secondary,no,349,yes,yes,unknown,may,127,1,-1,0,unknown,no
43,entrepreneur,married,unknown,no,100,yes,no,unknown,may,702,1,-1,0,unknown,no
38,admin.,married,secondary,no,0,no,no,unknown,may,151,1,-1,0,unknown,no
43,technician,married,secondary,no,434,yes,no,unknown,may,117,1,-1,0,unknown,no
49,management,married,tertiary,no,3237,yes,no,unknown,may,232,3,-1,0,unknown,no
42,management,married,unknown,no,275,no,no,unknown,may,408,2,-1,0,unknown,no
22,blue-collar,single,secondary,no,0,yes,no,unknown,may,179,2,-1,0,unknown,no
40,management,married,tertiary,no,207,yes,no,unknown,may,39,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,483,yes,no,unknown,may,282,1,-1,0,unknown,no
51,services,married,secondary,no,2248,yes,no,unknown,may,714,2,-1,0,unknown,no
49,admin.,married,secondary,no,428,yes,no,unknown,may,50,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,0,yes,yes,unknown,may,181,1,-1,0,unknown,no
34,services,single,secondary,no,0,yes,no,unknown,may,142,1,-1,0,unknown,no
33,technician,divorced,secondary,no,140,yes,no,unknown,may,227,1,-1,0,unknown,no
50,management,single,tertiary,no,297,yes,no,unknown,may,119,1,-1,0,unknown,no
39,blue-collar,married,primary,no,279,yes,no,unknown,may,361,1,-1,0,unknown,no
59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,may,73,3,-1,0,unknown,no
30,technician,single,secondary,no,2573,yes,no,unknown,may,67,2,-1,0,unknown,no
36,services,married,secondary,no,143,yes,yes,unknown,may,350,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,475,yes,no,unknown,may,332,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,70,yes,no,unknown,may,611,2,-1,0,unknown,no
34,management,single,tertiary,no,318,yes,no,unknown,may,113,2,-1,0,unknown,no
37,technician,married,secondary,no,275,yes,no,unknown,may,132,1,-1,0,unknown,no
42,management,divorced,tertiary,no,742,yes,no,unknown,may,58,3,-1,0,unknown,no
41,entrepreneur,married,primary,no,236,yes,no,unknown,may,151,1,-1,0,unknown,no
30,student,single,tertiary,no,25,yes,no,unknown,may,89,2,-1,0,unknown,no
37,management,single,tertiary,no,600,yes,no,unknown,may,152,1,-1,0,unknown,no
39,admin.,divorced,secondary,no,-349,yes,no,unknown,may,611,2,-1,0,unknown,no
41,blue-collar,married,primary,no,183,yes,yes,unknown,may,110,2,-1,0,unknown,no
40,blue-collar,married,primary,no,0,yes,no,unknown,may,463,1,-1,0,unknown,no
42,management,single,tertiary,no,0,yes,yes,unknown,may,562,2,-1,0,unknown,yes
40,blue-collar,divorced,primary,no,0,yes,no,unknown,may,962,1,-1,0,unknown,no
57,technician,married,secondary,no,1078,yes,no,unknown,may,10,4,-1,0,unknown,no
56,entrepreneur,divorced,secondary,no,155,no,no,unknown,may,118,3,-1,0,unknown,no
37,admin.,married,secondary,no,190,yes,no,unknown,may,92,2,-1,0,unknown,no
59,retired,married,secondary,no,319,yes,no,unknown,may,143,3,-1,0,unknown,no
39,services,divorced,secondary,no,-185,yes,no,unknown,may,189,3,-1,0,unknown,no
49,services,married,secondary,no,47,no,no,unknown,may,234,2,-1,0,unknown,no
38,services,single,secondary,no,570,yes,no,unknown,may,75,2,-1,0,unknown,no
36,self-employed,married,tertiary,no,19,no,no,unknown,may,189,2,-1,0,unknown,no
50,blue-collar,married,primary,no,61,yes,no,unknown,may,621,3,-1,0,unknown,no
41,admin.,married,secondary,no,-62,yes,yes,unknown,may,55,2,-1,0,unknown,no
54,technician,married,tertiary,no,258,no,no,unknown,may,310,4,-1,0,unknown,no
58,blue-collar,married,primary,no,76,yes,no,unknown,may,156,2,-1,0,unknown,no
30,blue-collar,single,secondary,no,0,yes,no,unknown,may,5,2,-1,0,unknown,no
33,admin.,single,secondary,no,352,yes,no,unknown,may,225,2,-1,0,unknown,no
47,admin.,married,secondary,no,368,yes,no,unknown,may,125,2,-1,0,unknown,no
50,technician,single,tertiary,no,339,yes,no,unknown,may,2,3,-1,0,unknown,no
32,blue-collar,married,secondary,no,1331,yes,no,unknown,may,286,2,-1,0,unknown,no
40,self-employed,married,secondary,no,672,yes,no,unknown,may,164,2,-1,0,unknown,no
37,management,married,tertiary,no,58,yes,no,unknown,may,98,2,-1,0,unknown,no
54,technician,single,unknown,no,447,yes,no,unknown,may,742,2,-1,0,unknown,no
24,student,single,secondary,no,423,yes,no,unknown,may,226,3,-1,0,unknown,no
54,management,married,tertiary,no,0,no,no,unknown,may,120,2,-1,0,unknown,no
34,technician,married,secondary,no,19,yes,no,unknown,may,362,4,-1,0,unknown,no
56,technician,divorced,primary,no,13,yes,no,unknown,may,357,2,-1,0,unknown,no
31,blue-collar,single,secondary,no,3,yes,no,unknown,may,200,2,-1,0,unknown,no
24,student,single,secondary,no,82,yes,no,unknown,may,204,2,-1,0,unknown,no
42,blue-collar,divorced,primary,no,28,yes,no,unknown,may,126,3,-1,0,unknown,no
57,technician,married,secondary,no,792,yes,no,unknown,may,65,2,-1,0,unknown,no
42,blue-collar,married,unknown,no,408,yes,no,unknown,may,107,2,-1,0,unknown,no
51,admin.,married,secondary,no,531,yes,no,unknown,may,267,2,-1,0,unknown,no
57,retired,married,secondary,no,211,yes,no,unknown,may,248,2,-1,0,unknown,no
36,services,single,secondary,no,62,yes,no,unknown,may,215,2,-1,0,unknown,no
53,services,married,unknown,no,257,yes,no,unknown,may,209,2,-1,0,unknown,no
50,technician,married,secondary,no,1234,yes,no,unknown,may,205,2,-1,0,unknown,no
54,management,married,tertiary,no,313,yes,no,unknown,may,83,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,89,yes,no,unknown,may,106,3,-1,0,unknown,no
44,blue-collar,married,secondary,no,129,yes,yes,unknown,may,189,2,-1,0,unknown,no
43,management,married,unknown,no,0,yes,no,unknown,may,105,2,-1,0,unknown,no
56,admin.,married,secondary,no,353,yes,no,unknown,may,106,2,-1,0,unknown,no
54,technician,married,unknown,no,851,yes,no,unknown,may,108,2,-1,0,unknown,no
55,services,divorced,primary,no,96,yes,yes,unknown,may,311,2,-1,0,unknown,no
37,services,divorced,secondary,no,398,yes,yes,unknown,may,214,2,-1,0,unknown,no
33,admin.,single,tertiary,no,193,no,no,unknown,may,132,2,-1,0,unknown,no
46,admin.,married,secondary,no,-358,yes,no,unknown,may,358,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,539,yes,yes,unknown,may,453,2,-1,0,unknown,no
51,technician,single,secondary,no,0,yes,no,unknown,may,364,2,-1,0,unknown,no
40,retired,single,primary,no,0,no,no,unknown,may,136,2,-1,0,unknown,no
42,blue-collar,married,secondary,no,490,yes,no,unknown,may,386,2,-1,0,unknown,no
51,blue-collar,married,secondary,no,0,yes,no,unknown,may,173,2,-1,0,unknown,no
49,blue-collar,married,unknown,no,403,yes,no,unknown,may,241,2,-1,0,unknown,no
48,management,married,secondary,no,161,yes,no,unknown,may,224,3,-1,0,unknown,no
32,technician,divorced,tertiary,no,2558,no,no,unknown,may,148,2,-1,0,unknown,no
31,admin.,single,secondary,no,98,yes,no,unknown,may,196,2,-1,0,unknown,no
55,management,single,tertiary,no,115,no,no,unknown,may,111,4,-1,0,unknown,no
40,blue-collar,single,secondary,no,436,yes,no,unknown,may,231,3,-1,0,unknown,no
47,technician,married,tertiary,no,831,yes,no,unknown,may,316,3,-1,0,unknown,no
