@relation car

@attribute buying {vhigh,high,med,low}
@attribute maint {vhigh,high,med,low}
@attribute doors {2.0,3.0,4.0,5more}
@attribute persons {2.0,4.0,more}
@attribute log_boot {small,med,big}
@attribute safety {low,med,high}
@attribute class {unacc,acc,vgood,good}

@data
vhigh,med,2.0,4.0,small,low,unacc
vhigh,med,2.0,4.0,small,med,unacc
vhigh,med,2.0,4.0,small,high,acc
vhigh,med,2.0,4.0,med,low,unacc
vhigh,med,2.0,4.0,med,med,unacc
vhigh,med,2.0,4.0,med,high,acc
vhigh,med,2.0,4.0,big,low,unacc
vhigh,med,2.0,4.0,big,med,acc
vhigh,med,2.0,4.0,big,high,acc
vhigh,med,2.0,more,small,low,unacc
vhigh,med,2.0,more,small,med,unacc
vhigh,med,2.0,more,small,high,unacc
vhigh,med,2.0,more,med,low,unacc
vhigh,med,4.0,more,small,med,unacc
vhigh,med,4.0,more,small,high,acc
vhigh,med,4.0,more,med,low,unacc
vhigh,med,4.0,more,med,med,acc
vhigh,med,4.0,more,med,high,acc
vhigh,med,4.0,more,big,low,unacc
vhigh,med,4.0,more,big,med,acc
vhigh,med,4.0,more,big,high,acc
vhigh,med,5more,2.0,small,low,unacc
vhigh,med,5more,2.0,small,med,unacc
vhigh,med,5more,2.0,small,high,unacc
vhigh,med,5more,2.0,med,low,unacc
vhigh,med,5more,2.0,med,med,unacc
vhigh,med,5more,2.0,med,high,unacc
vhigh,med,5more,2.0,big,low,unacc
vhigh,med,5more,2.0,big,med,unacc
vhigh,med,5more,2.0,big,high,unacc
vhigh,med,5more,4.0,small,low,unacc
vhigh,med,5more,4.0,small,med,unacc
vhigh,med,5more,4.0,small,high,acc
vhigh,med,5more,4.0,med,low,unacc
vhigh,med,5more,4.0,med,med,acc
vhigh,med,5more,4.0,med,high,acc
vhigh,med,5more,4.0,big,low,unacc
vhigh,med,5more,4.0,big,med,acc
vhigh,med,5more,4.0,big,high,acc
vhigh,med,5more,more,small,low,unacc
vhigh,med,5more,more,small,med,unacc
vhigh,med,5more,more,small,high,acc
vhigh,med,5more,more,med,low,unacc
vhigh,med,5more,more,med,med,acc
vhigh,med,5more,more,med,high,acc
vhigh,med,5more,more,big,low,unacc
vhigh,med,5more,more,big,med,acc
vhigh,med,5more,more,big,high,acc
vhigh,low,2.0,2.0,small,low,unacc
vhigh,low,2.0,2.0,small,med,unacc
vhigh,low,2.0,2.0,small,high,unacc
vhigh,low,2.0,2.0,med,low,unacc
vhigh,low,2.0,2.0,med,med,unacc
vhigh,low,2.0,2.0,med,high,unacc
vhigh,low,2.0,2.0,big,low,unacc
vhigh,low,2.0,2.0,big,med,unacc
vhigh,low,2.0,2.0,big,high,unacc
vhigh,low,2.0,4.0,small,low,unacc
vhigh,low,2.0,4.0,small,med,unacc
vhigh,low,2.0,4.0,small,high,acc
vhigh,low,2.0,4.0,med,low,unacc
vhigh,low,2.0,4.0,med,med,unacc
vhigh,low,2.0,4.0,med,high,acc
vhigh,low,2.0,4.0,big,low,unacc
vhigh,low,2.0,4.0,big,med,acc
vhigh,low,2.0,4.0,big,high,acc
vhigh,low,2.0,more,small,low,unacc
vhigh,low,2.0,more,small,med,unacc
vhigh,low,2.0,more,small,high,unacc
vhigh,low,2.0,more,med,low,unacc
vhigh,low,2.0,more,med,med,unacc
vhigh,low,2.0,more,med,high,acc
vhigh,low,2.0,more,big,low,unacc
vhigh,low,2.0,more,big,med,acc
vhigh,low,2.0,more,big,high,acc
vhigh,low,3.0,2.0,small,low,unacc
vhigh,low,3.0,2.0,small,med,unacc
vhigh,low,3.0,2.0,small,high,unacc
vhigh,low,3.0,2.0,med,low,unacc
vhigh,low,3.0,2.0,med,med,unacc
vhigh,low,3.0,2.0,med,high,unacc
vhigh,low,3.0,2.0,big,low,unacc
vhigh,low,3.0,2.0,big,med,unacc
vhigh,low,3.0,2.0,big,high,unacc
vhigh,low,3.0,4.0,small,low,unacc
vhigh,low,3.0,4.0,small,med,unacc
vhigh,low,3.0,4.0,small,high,acc
vhigh,low,3.0,4.0,med,low,unacc
vhigh,low,3.0,4.0,med,med,unacc
vhigh,low,3.0,4.0,med,high,acc
vhigh,low,3.0,4.0,big,low,unacc
vhigh,low,3.0,4.0,big,med,acc
vhigh,low,3.0,4.0,big,high,acc
vhigh,low,3.0,more,small,low,unacc
vhigh,low,3.0,more,small,med,unacc
vhigh,low,3.0,more,small,high,acc
vhigh,low,3.0,more,med,low,unacc
vhigh,low,3.0,more,med,med,acc
vhigh,low,3.0,more,med,high,acc
vhigh,low,3.0,more,big,low,unacc
vhigh,low,3.0,more,big,med,acc
vhigh,low,3.0,more,big,high,acc
vhigh,low,4.0,2.0,small,low,unacc
vhigh,low,4.0,2.0,small,med,unacc
vhigh,low,4.0,2.0,small,high,unacc
vhigh,low,4.0,2.0,med,low,unacc
vhigh,low,4.0,2.0,med,med,unacc
vhigh,low,4.0,2.0,med,high,unacc
vhigh,low,4.0,2.0,big,low,unacc
vhigh,low,4.0,2.0,big,med,unacc
vhigh,low,4.0,2.0,big,high,unacc
vhigh,low,4.0,4.0,small,low,unacc
vhigh,low,4.0,4.0,small,med,unacc
vhigh,low,4.0,4.0,small,high,acc
vhigh,low,4.0,4.0,med,low,unacc
vhigh,low,4.0,4.0,med,med,acc
vhigh,low,4.0,4.0,med,high,acc
vhigh,low,4.0,4.0,big,low,unacc
vhigh,low,4.0,4.0,big,med,acc
vhigh,low,4.0,4.0,big,high,acc
vhigh,low,4.0,more,small,low,unacc
vhigh,low,4.0,more,small,med,unacc
vhigh,low,4.0,more,small,high,acc
vhigh,low,4.0,more,med,low,unacc
vhigh,low,4.0,more,med,med,acc
vhigh,low,4.0,more,med,high,acc
vhigh,low,4.0,more,big,low,unacc
vhigh,low,4.0,more,big,med,acc
vhigh,low,4.0,more,big,high,acc
vhigh,low,5more,2.0,small,low,unacc
vhigh,low,5more,2.0,small,med,unacc
vhigh,low,5more,2.0,small,high,unacc
vhigh,low,5more,2.0,med,low,unacc
vhigh,low,5more,2.0,med,med,unacc
vhigh,low,5more,2.0,med,high,unacc
vhigh,low,5more,2.0,big,low,unacc
vhigh,low,5more,2.0,big,med,unacc
vhigh,low,5more,2.0,big,high,unacc
vhigh,low,5more,4.0,small,low,unacc
vhigh,low,5more,4.0,small,med,unacc
vhigh,low,5more,4.0,small,high,acc
vhigh,low,5more,4.0,med,low,unacc
vhigh,low,5more,4.0,med,med,acc
vhigh,low,5more,4.0,med,high,acc
vhigh,low,5more,4.0,big,low,unacc
vhigh,low,5more,4.0,big,med,acc
vhigh,low,5more,4.0,big,high,acc
vhigh,low,5more,more,small,low,unacc
vhigh,low,5more,more,small,med,unacc
vhigh,low,5more,more,small,high,acc
vhigh,low,5more,more,med,low,unacc
vhigh,low,5more,more,med,med,acc
vhigh,low,5more,more,med,high,acc
vhigh,low,5more,more,big,low,unacc
vhigh,low,5more,more,big,med,acc
vhigh,low,5more,more,big,high,acc
high,vhigh,2.0,2.0,small,low,unacc
high,vhigh,2.0,2.0,small,med,unacc
high,vhigh,2.0,2.0,small,high,unacc
high,vhigh,2.0,2.0,med,low,unacc
high,vhigh,2.0,2.0,med,med,unacc
high,vhigh,2.0,2.0,med,high,unacc
high,vhigh,2.0,2.0,big,low,unacc
high,vhigh,2.0,2.0,big,med,unacc
high,vhigh,2.0,2.0,big,high,unacc
high,vhigh,2.0,4.0,small,low,unacc
high,vhigh,2.0,4.0,small,med,unacc
high,vhigh,2.0,4.0,small,high,unacc
high,vhigh,2.0,4.0,med,low,unacc
high,vhigh,2.0,4.0,med,med,unacc
high,vhigh,2.0,4.0,med,high,unacc
high,vhigh,2.0,4.0,big,low,unacc
high,vhigh,2.0,4.0,big,med,unacc
high,vhigh,2.0,4.0,big,high,unacc
high,vhigh,2.0,more,small,low,unacc
high,vhigh,2.0,more,small,med,unacc
high,vhigh,2.0,more,small,high,unacc
high,vhigh,2.0,more,med,low,unacc
high,vhigh,2.0,more,med,med,unacc
high,vhigh,2.0,more,med,high,unacc
high,vhigh,2.0,more,big,low,unacc
high,vhigh,2.0,more,big,med,unacc
high,vhigh,2.0,more,big,high,unacc
high,vhigh,3.0,2.0,small,low,unacc
high,vhigh,3.0,2.0,small,med,unacc
high,vhigh,3.0,2.0,small,high,unacc
high,vhigh,3.0,2.0,med,low,unacc
high,vhigh,3.0,2.0,med,med,unacc
high,vhigh,3.0,2.0,med,high,unacc
high,vhigh,3.0,2.0,big,low,unacc
high,vhigh,3.0,2.0,big,med,unacc
high,vhigh,3.0,2.0,big,high,unacc
high,vhigh,3.0,4.0,small,low,unacc
high,vhigh,3.0,4.0,small,med,unacc
high,vhigh,3.0,4.0,small,high,unacc
high,vhigh,3.0,4.0,med,low,unacc
high,vhigh,3.0,4.0,med,med,unacc
high,vhigh,3.0,4.0,med,high,unacc
high,vhigh,3.0,4.0,big,low,unacc
high,vhigh,3.0,4.0,big,med,unacc
high,vhigh,3.0,4.0,big,high,unacc
high,vhigh,3.0,more,small,low,unacc
high,vhigh,3.0,more,small,med,unacc
high,vhigh,3.0,more,small,high,unacc
high,vhigh,3.0,more,med,low,unacc
high,vhigh,3.0,more,med,med,unacc
high,vhigh,3.0,more,med,high,unacc
high,vhigh,3.0,more,big,low,unacc
high,vhigh,3.0,more,big,med,unacc
high,vhigh,3.0,more,big,high,unacc
high,vhigh,4.0,2.0,small,low,unacc
high,vhigh,4.0,2.0,small,med,unacc
high,vhigh,4.0,2.0,small,high,unacc
high,vhigh,4.0,2.0,med,low,unacc
high,vhigh,4.0,2.0,med,med,unacc
high,vhigh,4.0,2.0,med,high,unacc
high,vhigh,4.0,2.0,big,low,unacc
high,vhigh,4.0,2.0,big,med,unacc
high,vhigh,4.0,2.0,big,high,unacc
high,vhigh,4.0,4.0,small,low,unacc
high,vhigh,4.0,4.0,small,med,unacc
high,vhigh,4.0,4.0,small,high,unacc
high,vhigh,4.0,4.0,med,low,unacc
high,vhigh,4.0,4.0,med,med,unacc
high,vhigh,4.0,4.0,med,high,unacc
high,vhigh,4.0,4.0,big,low,unacc
high,vhigh,4.0,4.0,big,med,unacc
high,vhigh,4.0,4.0,big,high,unacc
high,vhigh,4.0,more,small,low,unacc
high,vhigh,4.0,more,small,med,unacc
high,vhigh,4.0,more,small,high,unacc
high,vhigh,4.0,more,med,low,unacc
high,vhigh,4.0,more,med,med,unacc
high,vhigh,4.0,more,med,high,unacc
high,vhigh,4.0,more,big,low,unacc
high,vhigh,4.0,more,big,med,unacc
high,vhigh,4.0,more,big,high,unacc
high,vhigh,5more,2.0,small,low,unacc
high,vhigh,5more,2.0,small,med,unacc
high,vhigh,5more,2.0,small,high,unacc
high,vhigh,5more,2.0,med,low,unacc
high,vhigh,5more,2.0,med,med,unacc
high,vhigh,5more,2.0,med,high,unacc
high,vhigh,5more,2.0,big,low,unacc
high,vhigh,5more,2.0,big,med,unacc
high,vhigh,5more,2.0,big,high,unacc
high,vhigh,5more,4.0,small,low,unacc
high,vhigh,5more,4.0,small,med,unacc
high,vhigh,5more,4.0,small,high,unacc
high,vhigh,5more,4.0,med,low,unacc
high,vhigh,5more,4.0,med,med,unacc
high,vhigh,5more,4.0,med,high,unacc
high,vhigh,5more,4.0,big,low,unacc
high,vhigh,5more,4.0,big,med,unacc
high,vhigh,5more,4.0,big,high,unacc
high,vhigh,5more,more,small,low,unacc
high,vhigh,5more,more,small,med,unacc
high,vhigh,5more,more,small,high,unacc
high,vhigh,5more,more,med,low,unacc
high,vhigh,5more,more,med,med,unacc
high,vhigh,5more,more,med,high,unacc
high,vhigh,5more,more,big,low,unacc
high,vhigh,5more,more,big,med,unacc
high,vhigh,5more,more,big,high,unacc
high,high,2.0,2.0,small,low,unacc
high,high,2.0,2.0,small,med,unacc
high,high,2.0,2.0,small,high,unacc
high,high,2.0,2.0,med,low,unacc
high,high,2.0,2.0,med,med,unacc
high,high,2.0,2.0,med,high,unacc
high,high,2.0,2.0,big,low,unacc
high,high,2.0,2.0,big,med,unacc
high,high,2.0,2.0,big,high,unacc
high,high,2.0,4.0,small,low,unacc
high,high,2.0,4.0,small,med,unacc
high,high,2.0,4.0,small,high,acc
high,high,2.0,4.0,med,low,unacc
high,high,2.0,4.0,med,med,unacc
high,high,2.0,4.0,med,high,acc
high,high,2.0,4.0,big,low,unacc
high,high,2.0,4.0,big,med,acc
high,high,2.0,4.0,big,high,acc
high,high,2.0,more,small,low,unacc
high,high,2.0,more,small,med,unacc
high,high,2.0,more,small,high,unacc
high,high,2.0,more,med,low,unacc
high,high,2.0,more,med,med,unacc
high,high,2.0,more,med,high,acc
high,high,2.0,more,big,low,unacc
high,high,2.0,more,big,med,acc
high,high,2.0,more,big,high,acc
high,high,3.0,2.0,small,low,unacc
high,high,3.0,2.0,small,med,unacc
high,high,3.0,2.0,small,high,unacc
high,high,3.0,2.0,med,low,unacc
high,high,3.0,2.0,med,med,unacc
high,high,3.0,2.0,med,high,unacc
high,high,3.0,2.0,big,low,unacc
high,high,3.0,2.0,big,med,unacc
high,high,3.0,2.0,big,high,unacc
high,high,3.0,4.0,small,low,unacc
high,high,3.0,4.0,small,med,unacc
high,high,3.0,4.0,small,high,acc
high,high,3.0,4.0,med,low,unacc
high,high,3.0,4.0,med,med,unacc
high,high,3.0,4.0,med,high,acc
high,high,3.0,4.0,big,low,unacc
high,high,3.0,4.0,big,med,acc
high,high,3.0,4.0,big,high,acc
high,high,3.0,more,small,low,unacc
high,high,3.0,more,small,med,unacc
high,high,3.0,more,small,high,acc
high,high,3.0,more,med,low,unacc
high,high,3.0,more,med,med,acc
high,high,3.0,more,med,high,acc
high,high,3.0,more,big,low,unacc
high,high,3.0,more,big,med,acc
high,high,3.0,more,big,high,acc
high,high,4.0,2.0,small,low,unacc
high,high,4.0,2.0,small,med,unacc
high,high,4.0,2.0,small,high,unacc
high,high,4.0,2.0,med,low,unacc
high,high,4.0,2.0,med,med,unacc
high,high,4.0,2.0,med,high,unacc
high,high,4.0,2.0,big,low,unacc
high,high,4.0,2.0,big,med,unacc
high,high,4.0,2.0,big,high,unacc
high,high,4.0,4.0,small,low,unacc
high,high,4.0,4.0,small,med,unacc
high,high,4.0,4.0,small,high,acc
high,high,4.0,4.0,med,low,unacc
high,high,4.0,4.0,med,med,acc
high,high,4.0,4.0,med,high,acc
high,high,4.0,4.0,big,low,unacc
high,high,4.0,4.0,big,med,acc
high,high,4.0,4.0,big,high,acc
high,high,4.0,more,small,low,unacc
high,high,4.0,more,small,med,unacc
high,high,4.0,more,small,high,acc
high,high,4.0,more,med,low,unacc
high,high,4.0,more,med,med,acc
high,high,4.0,more,med,high,acc
high,high,4.0,more,big,low,unacc
high,high,4.0,more,big,med,acc
high,high,4.0,more,big,high,acc
high,high,5more,2.0,small,low,unacc
high,high,5more,2.0,small,med,unacc
high,high,5more,2.0,small,high,unacc
high,high,5more,2.0,med,low,unacc
high,high,5more,2.0,med,med,unacc
high,high,5more,2.0,med,high,unacc
high,high,5more,2.0,big,low,unacc
high,high,5more,2.0,big,med,unacc
high,high,5more,2.0,big,high,unacc
high,high,5more,4.0,small,low,unacc
high,high,5more,4.0,small,med,unacc
high,high,5more,4.0,small,high,acc
high,high,5more,4.0,med,low,unacc
high,high,5more,4.0,med,med,acc
high,high,5more,4.0,med,high,acc
high,high,5more,4.0,big,low,unacc
high,high,5more,4.0,big,med,acc
high,high,5more,4.0,big,high,acc
high,high,5more,more,small,low,unacc
high,high,5more,more,small,med,unacc
high,high,5more,more,small,high,acc
high,high,5more,more,med,low,unacc
high,high,5more,more,med,med,acc
high,high,5more,more,med,high,acc
high,high,5more,more,big,low,unacc
high,high,5more,more,big,med,acc
high,high,5more,more,big,high,acc
high,med,2.0,2.0,small,low,unacc
high,med,2.0,2.0,small,med,unacc
high,med,2.0,2.0,small,high,unacc
high,med,2.0,2.0,med,low,unacc
high,med,2.0,2.0,med,med,unacc
high,med,2.0,2.0,med,high,unacc
high,med,2.0,2.0,big,low,unacc
high,med,2.0,2.0,big,med,unacc
high,med,2.0,2.0,big,high,unacc
high,med,2.0,4.0,small,low,unacc
high,med,2.0,4.0,small,med,unacc
high,med,2.0,4.0,small,high,acc
high,med,2.0,4.0,med,low,unacc
high,med,2.0,4.0,med,med,unacc
high,med,2.0,4.0,med,high,acc
high,med,2.0,4.0,big,low,unacc
high,med,2.0,4.0,big,med,acc
high,med,2.0,4.0,big,high,acc
high,med,2.0,more,small,low,unacc
high,med,2.0,more,small,med,unacc
high,med,2.0,more,small,high,unacc
high,med,2.0,more,med,low,unacc
high,med,2.0,more,med,med,unacc
high,med,2.0,more,med,high,acc
high,med,2.0,more,big,low,unacc
high,med,2.0,more,big,med,acc
high,med,2.0,more,big,high,acc
high,med,3.0,2.0,small,low,unacc
high,med,3.0,2.0,small,med,unacc
high,med,3.0,2.0,small,high,unacc
high,med,3.0,2.0,med,low,unacc
high,med,3.0,2.0,med,med,unacc
high,med,3.0,2.0,med,high,unacc
high,med,3.0,2.0,big,low,unacc
high,med,3.0,2.0,big,med,unacc
high,med,3.0,2.0,big,high,unacc
high,med,3.0,4.0,small,low,unacc
high,med,3.0,4.0,small,med,unacc
high,med,3.0,4.0,small,high,acc
high,med,3.0,4.0,med,low,unacc
high,med,3.0,4.0,med,med,unacc
high,med,3.0,4.0,med,high,acc
high,med,3.0,4.0,big,low,unacc
high,med,3.0,4.0,big,med,acc
high,med,3.0,4.0,big,high,acc
high,med,3.0,more,small,low,unacc
high,med,3.0,more,small,med,unacc
high,med,3.0,more,small,high,acc
high,med,3.0,more,med,low,unacc
high,med,3.0,more,med,med,acc
high,med,3.0,more,med,high,acc
high,med,3.0,more,big,low,unacc
high,med,3.0,more,big,med,acc
high,med,3.0,more,big,high,acc
high,med,4.0,2.0,small,low,unacc
high,med,4.0,2.0,small,med,unacc
high,med,4.0,2.0,small,high,unacc
high,med,4.0,2.0,med,low,unacc
high,med,4.0,2.0,med,med,unacc
high,med,4.0,2.0,med,high,unacc
high,med,4.0,2.0,big,low,unacc
high,med,4.0,2.0,big,med,unacc
high,med,4.0,2.0,big,high,unacc
high,med,4.0,4.0,small,low,unacc
high,med,4.0,4.0,small,med,unacc
high,med,4.0,4.0,small,high,acc
high,med,4.0,4.0,med,low,unacc
high,med,4.0,4.0,med,med,acc
